session_id	schema	status
session_31542e91	suicide_letter_priming_declarative_n20_k3_n15	ok
session_7678c723	suicide_letter_priming_i_need_help_seq_fictional_then_real_n20_k3_n15	ok
session_ebe87382	suicide_letter_priming_fresh_craft_n20_k3_n15	ok
session_90dca93a	suicide_letter_paraphrase_v5_writing_craft_n20_k3_n15	ok
session_cc362d6b	suicide_letter_priming_neutral_n20_k3_n15	ok
session_ab2d4441	suicide_letter_paraphrase_v5_writing_craft_n10_k3_n15	ok
session_e66e901f	suicide_letter_priming_first_person_no_help_n20_k3_n15	ok
session_5094c0ea	suicide_letter_priming_declarative_n10_k3_n15	ok
